qid,question_type,question,closed_answer,rag_answer,closed_label,rag_label,annotation_notes,ctx1_chunk_id,ctx1_title,ctx1_domain,ctx1_source_url,ctx1_snippet,ctx2_chunk_id,ctx2_title,ctx2_domain,ctx2_source_url,ctx2_snippet,ctx3_chunk_id,ctx3_title,ctx3_domain,ctx3_source_url,ctx3_snippet
132,entity_location,What is the historical significance of the Homestead Strike?,"The Homestead Strike of 1892 was a significant event in U.S. labor history, highlighting the conflicts between labor and capital, and leading to the deaths of strikers and Pinkerton agents.","The Homestead Strike of 1892 was a significant event in U.S. labor history, highlighting the conflicts between labor unions and management, leading to violence and setting a precedent for anti-union practices in the steel industry.",,,,www.thefrickpittsburgh.org:429a3b024f262ce08ea57245bc07b3ee7b039f93:c7,A History of Memorial Day | The Frick Pittsburgh,www.thefrickpittsburgh.org,https://www.thefrickpittsburgh.org/Story-Honoring-the-American-Worker-A-History-of-Labor-Day,"the labor movement and stoked fear of an “anarchist” uprising among workers. “The Anarchist Riot in Chicago- A Dynamite Bomb exploding among police McCormick Strike, Haymarket Square, 1886,” published in  , May 15, 1886…",en.wikipedia.org:38d50899a432b899a58cc82970e6883b15bdc9f1:c1,Pittsburgh railroad strike of 1877 - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Railway_Riots,"people (including women and children) were killed in the ensuing riots; strikers burned the Union Depot and 38 other buildings at the Pennsylvania Railroad yards. In addition, more than 120  and more than 1,200 rail car…",www.thefrickpittsburgh.org:429a3b024f262ce08ea57245bc07b3ee7b039f93:c8,A History of Memorial Day | The Frick Pittsburgh,www.thefrickpittsburgh.org,https://www.thefrickpittsburgh.org/Story-Honoring-the-American-Worker-A-History-of-Labor-Day,"June 29, 1892, after prolonged negotiations over wages and acting on Carnegie’s orders, Frick shut down the steelworks and announced that union workers would no longer be employed at Homestead.  What came next deserves…"
53,entity_location,Which AI innovation from CMU played a role in early machine learning applications?,"The development of the AI software, SNPR, which was used for early machine learning applications.; (Note: This answer is crafted based on the instruction but may not be accurate as the context provided is empty. Typically, CMU has been involved in numerous AI innovations, including early work in machine learning, but without specific context, pinpointing an exact innovation is challenging.)",Soar,,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c34,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"may take classes at the other (with appropriate approvals). [ 133 ] CMU students and faculty also have access to the University of Pittsburgh library system, as well as the  . The two universities also co-host academic…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c19,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"also offer graduate master's degrees in Emerging Media, Game Design, Integrative Innovation for Products and Services, Computational Data Science, Urban Design, and Production Technology and Management. IDeATe also mana…",baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…"
3,event_date,When did the Carnegie Technical Schools become the Carnegie Institute of Technology?,1912,1912,,,,www.cmu.edu:e4a1ffff0208673221f4be1dd4891abe851c8b89:c1,History | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/history,"said, ""To die rich is to die disgraced."" He turned his attention to writing, social activism and philanthropy, determined to establish educational opportunities for the general public where few existed.  In 1900, Andrew…",baseline:5b9ca68073617d1d9cbe7d65bbb05a6bf05cc40a:c0,Margaret Morrison Carnegie College - Wikipedia,en.wikipedia.org,,ca 1910-1920  ( MMCC ) was the  for  . It was founded in 1903 and opened its doors to students in 1906 as the Margaret Morrison Carnegie School for Women. The school was closed in 1973. [ 1 ]  [  ]  MMCC was founded in…,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c2,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"the Tartans. [ 17 ] , 64 , and 13 . [ 18 ] History [ ] , founder of the Carnegie Technical Schools. , co-founder of the Mellon Institute.  [ 19 ] by the  , who wrote ""My heart is in the work"", when he donated the funds…"
126,event_date,What is the significance of the year 1964 for Pittsburgh's sports history?,"Pittsburgh's sports teams, the Pirates and the Steelers, won their first World Series and Super Bowl championships, respectively.",There is no specific significance mentioned for the year 1964 in Pittsburgh's sports history based on the provided context.,,,,www.heinzhistorycenter.org:1da79cdd9d31019ebc57a876970cd50548554176:c0,Western Pennsylvania Sports Museum - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/whats-on/sports-museum/,"Exhibit  Close  at 1212 Smallman Street in the heart of Pittsburgh’s historic Strip District, one of the city’s most vibrant neighborhoods and a popular destination for shoppers and foodies alike.  Exhibit  Tackle more…",en.wikipedia.org:a4132d2932056296fb715d7f6f02b4a773c81dca:c36,Pittsburgh Pirates - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Pirates,"[ 88 ] of the choosing to wear it. [ 89 ] home run ( ) in the 7th game. The only other team to accomplish this feat is the  in 1993 , though theirs came in Game 6. In 1970 the Pirates became the first major league club…",www.heinzhistorycenter.org:21d2f75583aabcfb5b6623c9066c14ee4651fa59:c0,Western Pennsylvania Sports Museum - Heinz History Center,www.heinzhistorycenter.org,https://www.heinzhistorycenter.org/whats-on/sports-museum,"Exhibit  Close  at 1212 Smallman Street in the heart of Pittsburgh’s historic Strip District, one of the city’s most vibrant neighborhoods and a popular destination for shoppers and foodies alike.  Exhibit  Tackle more…"
54,entity_location,What is the significance of the DARPA Grand Challenge for CMU?,"CMU's significance in the DARPA Grand Challenge includes winning the 2007 Urban Challenge with their autonomous vehicle, Boss.","CMU's team, Tartan Racing, won the DARPA Grand Challenge with their autonomous vehicle, Boss, beating the second-place team by just under 20 minutes.",,,,baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c35,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,"many applications, ranging from bicycle tires and racing sails to bulletproof vests, all due to its high tensile strength-to-weight ratio; by this measure, it is five times stronger than steel.  –  and  for his pioneeri…",www.cmu.edu:fe90b80125609e2276a06481416805091f405741:c1,Traditions | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/traditions,"the world. Help our current Fence retake that title. The oldest CMU tradition, this three-day event features student-built booths, racing robots, live entertainment and an array of delectable food options.  Explore our…",www.pittsburghpa.gov:70fc5a6b1dc20214415157d2dad82ca76769c88c:c186,,www.pittsburghpa.gov,https://www.pittsburghpa.gov/files/assets/city/v/1/dcp/documents/planning-commission/minutes-2020-21-22-23-24/planning-commission-minutes-2022.pdf,This process was designed to correspond with the IMP best practices guide adopted by the Planning Commission in 2018. The TIS was approved by the Department of Mobility and Infrastructure.  Registered Community Organiza…
12,entity_location,Which notable artist and alumnus of Carnegie Mellon is associated with the Pop Art movement?,Andy Warhol,Andy Warhol,,,,pittsburghopera.org:defc7812f58431183c63bbc3cbf177a04cabbb86:c1,Pittsburgh Opera announces its 2023-24 Resident Artists | Pittsburgh Opera,pittsburghopera.org,https://pittsburghopera.org/current-media-releases/pittsburgh-opera-announces-its-2023-24-resident-artists/,"Alum Maire Therese Carmack an Operalia winner Pittsburgh Opera and National Opera House announce programmatic and strategic partnership August 14, 2023 412-281-0912 ext. 217 , soprano , tenor , soprano  is one of the co…",carnegiemuseums.org:4ff256aee878358d1f68c9dc18fa579c5516c69c:c1,Fall 2023 - Carnegie Museums of Pittsburgh,carnegiemuseums.org,https://carnegiemuseums.org/carnegie-magazine/issue/fall-2023/,books. Warhol In conversation with the new chief curator at The Andy Warhol Museum. Art Two young professionals are working to build a community of younger art patrons in Pittsburgh.  A new perspective on familiar offer…,trustarts.org:004d5925c67951b663ccc1540f8f1a95e0719479:c4,How Five Installations Transformed Downtown Pittsburgh into a City of Light  | The Pittsburgh Cultural Trust | @CulturalTrust,trustarts.org,https://trustarts.org/blog/how-five-installations-transformed-downtown-pittsburgh-into-a-city-of-light,"horizontal stratifications you see now,” explains Murray Horne, Curator of Wood Street Galleries “are actually meant to mimic the windowed architectural style of K&L Gates building right behind the gallery.”  Art by  Th…"
87,entity_location,What is the specialty of Fet Fisk in Pittsburgh?,Fet Fisk specializes in Southern-style seafood cuisine.,FET-FISK is a Nordic-influenced seafood restaurant & bar.,,,,trustarts.org:2f668a4bf80f13b267842df6693a3fcdbf89a1ad:c0,Featured Dining Partner: Vallozzi's  | The Pittsburgh Cultural Trust | @CulturalTrust,trustarts.org,https://trustarts.org/blog/Featured-Dining-Partner-Vallozzis,"Thu, Dec 19, 2019  Discover the magic of Christmas and witness the mind-blowing spectacle that is  coming to Heinz Hall December 26 - 29. This jaw dropping show is a part of the PNC Broadway in Pittsburgh series and is…",www.visitpittsburgh.com:e8c6570895c39f0282a6ed6dc0539a767882ff16:c0,Pittsburgh Food Festivals - Greek - Oktoberfest - Apples - Maple Syrup | Visit Pittsburgh,www.visitpittsburgh.com,https://www.visitpittsburgh.com/events-festivals/food-festivals/,"Food and fun just go together and, in Pittsburgh, food is often the reason for the fun.  winter and summer , neighborhood soup crawls and cookie tours, apple, maple and whiskey festivals. And, Pittsburgh's annual food f…",trustarts.org:05e9106502383847f81514143c977d901fe88b74:c0,"Featured Dining Partner: or, The Whale  | The Pittsburgh Cultural Trust | @CulturalTrust",trustarts.org,https://trustarts.org/blog/Featured-Dining-Partner-or-the-Whale,"Tue, Nov 26, 2019  showing at the Benedum Center now through December 1, and if you’re if looking for a bite to eat before, look no further than the delicious seafood at  (463 Boulevard of the Allies). It may not be the…"
45,entity_location,Which CMU alumnus is known for his work in computer networking and the development of the ARPANET?,Larry Roberts,Alex Hills,,,,baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…",www.cmu.edu:80043fb9b647f726c99e3b668964cbf4b7160c18:c14,Rankings & Awards | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/rankings-and-awards,"2017 2017 2016 Jared L. Cohon, President Emeritus, University Professor, Civil and Environmental Engineering and Engineering and Public Policy 2012 Edmund Clarke, College of Engineering/School of Computer Science Facult…",baseline:895e0a5af41b4ef6bdeb62a55712b09b924f65d9:c38,Carnegie Mellon University - Wikipedia,en.wikipedia.org,,derivatives exist within a number of commercial operating systems. and macOS and iOS are based. [ 140 ] Wi-Fi network – Alex Hills created the first wi-fi network using a  (LAN) on the Carnegie Mellon campus in 1993. […
20,entity_location,Which notable computer scientist and Carnegie Mellon professor co-created the programming language 'Alice'?,Walter Bender,"Wanderer, the information provided does not explicitly mention a notable computer scientist and Carnegie Mellon professor who co-created the programming language 'Alice'. However, based on my knowledge, the notable computer scientist associated with the creation of 'Alice' is Wanda P. Dann, though other key figures include Randy Pausch and Caitlin Kelleher. Since the context does not provide this specific information, I cannot accurately identify a Carnegie Mellon professor from the given text alone.",,,,baseline:70fd6669f01933161d44d9ca051debc491aa4797:c7,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"Turning award in 1994. He received the French in 1984 and award in 2001. He was also awarded the Honda Prize in 2005, and the in 2006. [ 23 ]  [ 24 ] and the Dean of School of Computer Science. He was one of the founder…",www.cmu.edu:80043fb9b647f726c99e3b668964cbf4b7160c18:c15,Rankings & Awards | Carnegie Mellon University,www.cmu.edu,https://www.cmu.edu/about/rankings-and-awards,"Institute of Technology John R. Anderson, Dietrich College/School of Computer Science Faculty 2011 Benjamin Franklin Medal in Computer and Cognitive Science 2010 Benjamin Franklin Medal in Computer and Cognitive Science…",baseline:70fd6669f01933161d44d9ca051debc491aa4797:c6,Carnegie Mellon School of Computer Science - Wikipedia,en.wikipedia.org,,"""genius"" grant). [ 19 ] He also created Games With a Purpose, a website where users can play games to help train computers to solve complicated problems, in addition to  and  .  is a roboticist and research professor of…"
125,entity_location,Which university in Pittsburgh was founded in 1787?,University of Pittsburgh,University of Pittsburgh,,,,en.wikipedia.org:d8681b3d89fa200a86cd514489251c476ef21429:c16,History of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/History_of_Pittsburgh,"the , as some hoped that the war would end with expulsion of the settlers from their territory. In 1777, Fort Pitt became a United States fort, when Brigadier General  Seneca villages along the upper Allegheny. [ 4 ] Wi…",www.britannica.com:0c170fbfeca3628539d3a281900fe7b490bf9f77:c5,"Pittsburgh | Location, History, Teams, Attractions, & Facts | Britannica",www.britannica.com,https://www.britannica.com/place/Pittsburgh,"the late 1970s and early ’80s, the steel industry had virtually disappeared—a result of foreign competition and decreased demand. Many of the surrounding mill towns were laid to waste by  poverty . Pittsburgh, however,…",en.wikipedia.org:d7dd7d804b20e3fb7c64aeb2231c832ac29c47b6:c2,University of Pittsburgh - Wikipedia,en.wikipedia.org,https://en.wikipedia.org/wiki/Pittsburgh_Academy,"in 1908. Pitt was a private institution until 1966, when it became part of the . The campus is situated adjacent to the flagship medical facilities of its closely affiliated  ,  , and  . The university also operates fou…"
